name,lon,lat,height
RX_406,-0.083117,52.808415,1.5
RX_407,-0.083065,52.808432,1.5
RX_408,-0.083014,52.808448,1.5
RX_409,-0.08299,52.808456,1.5
RX_410,-0.082938,52.808471,1.5
RX_411,-0.082885,52.808487,1.5
RX_412,-0.082843,52.8085,1.5
RX_413,-0.082807,52.808512,1.5
RX_414,-0.082754,52.808529,1.5
RX_415,-0.082699,52.808546,1.5
RX_416,-0.082668,52.808557,1.5
RX_417,-0.082611,52.808576,1.5
RX_418,-0.082551,52.808596,1.5
RX_419,-0.082518,52.808608,1.5
RX_420,-0.082465,52.808631,1.5
RX_421,-0.082411,52.808653,1.5
RX_422,-0.082384,52.808665,1.5
RX_423,-0.082342,52.808685,1.5
RX_424,-0.0823,52.808705,1.5
RX_425,-0.082277,52.80872,1.5
RX_426,-0.08224,52.808745,1.5
RX_427,-0.082212,52.808763,1.5
RX_428,-0.082184,52.808783,1.5
RX_429,-0.08215,52.808808,1.5
RX_430,-0.082127,52.808825,1.5
RX_431,-0.082102,52.808847,1.5
RX_432,-0.082074,52.808872,1.5
RX_433,-0.082053,52.808892,1.5
RX_434,-0.082034,52.808915,1.5
RX_435,-0.082011,52.808945,1.5
RX_436,-0.081988,52.808973,1.5
RX_437,-0.081977,52.808993,1.5
RX_438,-0.081957,52.809026,1.5
RX_439,-0.081936,52.809059,1.5
RX_440,-0.081927,52.809078,1.5
RX_441,-0.081911,52.809111,1.5
RX_442,-0.081894,52.809146,1.5
RX_443,-0.081881,52.809174,1.5
RX_444,-0.081858,52.809225,1.5
RX_445,-0.081842,52.809269,1.5
RX_446,-0.081817,52.809357,1.5
RX_447,-0.08181,52.809373,1.5
RX_448,-0.081802,52.809439,1.5
RX_449,-0.081805,52.80944,1.5
RX_450,-0.0818,52.809448,1.5
RX_451,-0.081792,52.809457,1.5
RX_452,-0.081775,52.80947,1.5
RX_453,-0.081754,52.809479,1.5
RX_454,-0.081716,52.809491,1.5
RX_455,-0.081683,52.809496,1.5
RX_456,-0.081636,52.809501,1.5
RX_457,-0.081605,52.809501,1.5
RX_458,-0.081561,52.809498,1.5
RX_459,-0.08153,52.809497,1.5
RX_460,-0.081492,52.80949,1.5
RX_461,-0.081451,52.809483,1.5
RX_462,-0.081423,52.809478,1.5
RX_463,-0.081391,52.809471,1.5
RX_464,-0.081352,52.809462,1.5
RX_465,-0.081315,52.809453,1.5
RX_466,-0.081299,52.80945,1.5
RX_467,-0.081257,52.80944,1.5
RX_468,-0.081215,52.809431,1.5
RX_469,-0.081174,52.809422,1.5
RX_470,-0.081148,52.809417,1.5
RX_471,-0.081109,52.809407,1.5
RX_472,-0.081059,52.809395,1.5
RX_473,-0.08101,52.809383,1.5
RX_474,-0.080968,52.809373,1.5
RX_475,-0.08094,52.809366,1.5
RX_476,-0.08089,52.809354,1.5
RX_477,-0.08084,52.809341,1.5
RX_478,-0.080791,52.809329,1.5
RX_479,-0.080774,52.809325,1.5
RX_480,-0.080726,52.809312,1.5
RX_481,-0.080679,52.809301,1.5
RX_482,-0.080632,52.809289,1.5
RX_483,-0.080587,52.809277,1.5
RX_484,-0.080573,52.809274,1.5
RX_485,-0.080525,52.809262,1.5
RX_486,-0.080479,52.80925,1.5
RX_487,-0.080433,52.809239,1.5
RX_488,-0.080388,52.809227,1.5
RX_489,-0.080365,52.809222,1.5
RX_490,-0.080331,52.809212,1.5
RX_491,-0.080284,52.809199,1.5
RX_492,-0.080238,52.809186,1.5
RX_493,-0.080192,52.809173,1.5
RX_494,-0.080147,52.809161,1.5
RX_495,-0.080133,52.809157,1.5
RX_496,-0.080091,52.809143,1.5
RX_497,-0.080043,52.809128,1.5
RX_498,-0.079994,52.809112,1.5
RX_499,-0.079944,52.809096,1.5
RX_500,-0.079895,52.80908,1.5
RX_501,-0.079887,52.809078,1.5
RX_502,-0.079836,52.809061,1.5
RX_503,-0.079786,52.809044,1.5
RX_504,-0.079735,52.809027,1.5
RX_505,-0.079684,52.80901,1.5
RX_506,-0.079635,52.808993,1.5
RX_507,-0.079624,52.808989,1.5
