meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.0521,51.5508,174.43,RX_3705,0.00015127289054363554
-0.0522,51.5508,175.01,RX_3706,7.600221026849712e-05
-0.0522,51.5508,174.76999999999998,RX_3706,7.600221026849712e-05
-0.0523,51.5508,174.81,RX_3709,0.00014373058981032147
-0.0523,51.5508,174.51999999999998,RX_3709,0.00014373058981032147
-0.0524,51.5508,173.8,RX_3710,0.00014192494688589785
-0.0524,51.5508,176.24,RX_3710,0.00014192494688589785
-0.0524,51.5508,173.8,RX_3710,0.00014192494688589785
-0.0525,51.5507,176.17000000000002,RX_3713,0.00015532132357472866
-0.0525,51.5507,175.13,RX_3713,0.00015532132357472866
-0.0526,51.5507,174.78,RX_3717,8.981799010517483e-05
-0.0526,51.5507,171.26,RX_3717,8.981799010517483e-05
-0.0526,51.5507,172.95,RX_3717,8.981799010517483e-05
-0.0527,51.5507,173.07,RX_3718,0.00019922577721395287
-0.0527,51.5507,172.26999999999998,RX_3718,0.00019922577721395287
-0.0528,51.5507,172.25,RX_3721,8.518114528573629e-05
-0.0528,51.5507,172.23000000000002,RX_3721,8.518114528573629e-05
-0.0529,51.5507,173.46,RX_3722,8.45013012095185e-05
-0.0529,51.5507,174.12,RX_3722,8.45013012095185e-05
-0.053,51.5507,172.19,RX_3724,0.00018432782183919227
-0.0531,51.5507,172.82,RX_3725,6.134770128946033e-05
-0.0531,51.5506,173.38,RX_3726,1.2020481459391139e-05
-0.0532,51.5506,173.32,RX_3728,0.00021261021131581233
-0.0532,51.5506,173.37,RX_3728,0.00021261021131581233
-0.0532,51.5506,172.21,RX_3728,0.00021261021131581233
-0.0533,51.5506,171.81,RX_3730,4.354006903515923e-05
-0.0533,51.5506,171.7,RX_3730,4.354006903515923e-05
-0.0534,51.5506,172.28,RX_3733,0.0001755880684333781
-0.0534,51.5506,171.75,RX_3733,0.0001755880684333781
-0.0534,51.5505,171.41,RX_3734,0.0001770781204928766
-0.0535,51.5505,171.32999999999998,RX_3737,6.121908341708975e-05
-0.0535,51.5505,170.5,RX_3737,6.121908341708975e-05
-0.0535,51.5505,170.15,RX_3737,6.121908341708975e-05
-0.0536,51.5504,169.21,RX_3740,2.9559340310214422e-05
-0.0536,51.5504,169.68,RX_3740,2.9559340310214422e-05
-0.0536,51.5504,169.3,RX_3740,2.9559340310214422e-05
-0.0536,51.5504,168.75,RX_3740,2.9559340310214422e-05
-0.0536,51.5504,169.05,RX_3740,2.9559340310214422e-05
-0.0537,51.5504,168.56,RX_3743,0.00019613492910395573
-0.0537,51.5503,169.4,RX_3747,6.688859520435359e-05
-0.0537,51.5503,170.8,RX_3747,6.688859520435359e-05
-0.0537,51.5503,168.54000000000002,RX_3747,6.688859520435359e-05
-0.0537,51.5503,170.82,RX_3747,6.688859520435359e-05
-0.0538,51.5503,170.23000000000002,RX_3748,0.0001607767431491417
