name,lon,lat,local_measurement_dBm,path_loss_dB
RX_1552,-0.092900,51.531500,-104.23,152.03
RX_1554,-0.092900,51.531600,-105.63,153.43
RX_1554,-0.092900,51.531600,-105.41,153.21
RX_1554,-0.092900,51.531600,-105.19,152.99
RX_1554,-0.092900,51.531600,-105.48,153.28
RX_1559,-0.092900,51.531700,-105.05,152.85
RX_1559,-0.092900,51.531700,-108.73,156.53
RX_1559,-0.092900,51.531700,-107.74,155.54
RX_1563,-0.092900,51.531800,-106.41,154.21
RX_1563,-0.092900,51.531800,-107.05,154.85
RX_1563,-0.092900,51.531800,-108.83,156.63
RX_1563,-0.092900,51.531800,-106.67,154.47
RX_1567,-0.092900,51.531900,-106.94,154.74
RX_1567,-0.092900,51.531900,-105.58,153.38
RX_1567,-0.092900,51.531900,-106.89,154.69
RX_1567,-0.092900,51.531900,-106.76,154.56
RX_1570,-0.092900,51.532000,-109.98,157.78
RX_1570,-0.092900,51.532000,-107.97,155.77
RX_1570,-0.092900,51.532000,-109.06,156.86
RX_1573,-0.092900,51.532100,-110.61,158.41
RX_1573,-0.092900,51.532100,-108.95,156.75
RX_1573,-0.092900,51.532100,-108.63,156.43
RX_1574,-0.093000,51.532100,-106.11,153.91
RX_1577,-0.093000,51.532200,-107.70,155.50
RX_1577,-0.093000,51.532200,-107.96,155.76
RX_1577,-0.093000,51.532200,-106.63,154.43
RX_1578,-0.093000,51.532300,-106.99,154.79
RX_1578,-0.093000,51.532300,-108.17,155.97
RX_1578,-0.093000,51.532300,-109.18,156.98
RX_1581,-0.093000,51.532400,-108.58,156.38
RX_1583,-0.093100,51.532400,-111.79,159.59
RX_1583,-0.093100,51.532400,-113.12,160.92
RX_1583,-0.093100,51.532400,-108.19,155.99
RX_1585,-0.093100,51.532500,-111.20,159.00
RX_1585,-0.093100,51.532500,-110.50,158.30
RX_1585,-0.093100,51.532500,-109.38,157.18
RX_1585,-0.093100,51.532500,-111.18,158.98
RX_1591,-0.093200,51.532600,-109.50,157.30
RX_1591,-0.093200,51.532600,-110.49,158.29
RX_1591,-0.093200,51.532600,-106.60,154.40
RX_1591,-0.093200,51.532600,-107.40,155.20
RX_1593,-0.093200,51.532700,-107.15,154.95
RX_1593,-0.093200,51.532700,-105.58,153.38
RX_1593,-0.093200,51.532700,-104.54,152.34
RX_1596,-0.093300,51.532800,-105.29,153.09
RX_1596,-0.093300,51.532800,-106.84,154.64
RX_1596,-0.093300,51.532800,-108.32,156.12
RX_1596,-0.093300,51.532800,-105.97,153.77
RX_1600,-0.093300,51.532900,-103.31,151.11
RX_1602,-0.093400,51.532900,-102.47,150.27
RX_1602,-0.093400,51.532900,-108.25,156.05
RX_1602,-0.093400,51.532900,-110.01,157.81
RX_1604,-0.093400,51.533000,-105.37,153.17
RX_1606,-0.093500,51.533000,-105.21,153.01
RX_1606,-0.093500,51.533000,-107.77,155.57
RX_1607,-0.093500,51.533100,-108.18,155.98
RX_1607,-0.093500,51.533100,-105.38,153.18
RX_1609,-0.093600,51.533100,-103.86,151.66
RX_1611,-0.093600,51.533200,-106.28,154.08
RX_1611,-0.093600,51.533200,-105.24,153.04
RX_1611,-0.093600,51.533200,-105.80,153.60
RX_1611,-0.093600,51.533200,-104.29,152.09
RX_1616,-0.093600,51.533300,-105.30,153.10
RX_1616,-0.093600,51.533300,-106.00,153.80
RX_1616,-0.093600,51.533300,-104.92,152.72
RX_1616,-0.093600,51.533300,-109.06,156.86
RX_1618,-0.093500,51.533300,-107.73,155.53
RX_1619,-0.093500,51.533400,-104.98,152.78
RX_1619,-0.093500,51.533400,-106.74,154.54
RX_1623,-0.093400,51.533400,-107.72,155.52
RX_1623,-0.093400,51.533400,-109.35,157.15
RX_1623,-0.093400,51.533400,-104.35,152.15
RX_1624,-0.093300,51.533400,-105.16,152.96
RX_1624,-0.093300,51.533400,-109.73,157.53
RX_1624,-0.093300,51.533400,-105.35,153.15
RX_1627,-0.093200,51.533500,-106.16,153.96
RX_1627,-0.093200,51.533500,-104.97,152.77
RX_1630,-0.093100,51.533500,-110.40,158.20
RX_1630,-0.093100,51.533500,-108.00,155.80
RX_1631,-0.093000,51.533500,-107.31,155.11
RX_1631,-0.093000,51.533500,-105.99,153.79
RX_1633,-0.093000,51.533600,-107.50,155.30
RX_1635,-0.092900,51.533600,-110.38,158.18
RX_1635,-0.092900,51.533600,-107.23,155.03
RX_1637,-0.092800,51.533600,-108.85,156.65
RX_1637,-0.092800,51.533600,-108.78,156.58
RX_1638,-0.092700,51.533700,-106.57,154.37
RX_1638,-0.092700,51.533700,-104.81,152.61
RX_1640,-0.092600,51.533700,-107.44,155.24
RX_1640,-0.092600,51.533700,-108.97,156.77
RX_1640,-0.092600,51.533700,-110.36,158.16
RX_1643,-0.092500,51.533700,-108.56,156.36
RX_1644,-0.092500,51.533800,-109.94,157.74
RX_1647,-0.092400,51.533800,-106.85,154.65
RX_1647,-0.092400,51.533800,-105.96,153.76
RX_1647,-0.092400,51.533800,-108.00,155.80
RX_1649,-0.092300,51.533800,-107.59,155.39
RX_1649,-0.092300,51.533800,-108.81,156.61
RX_1649,-0.092300,51.533800,-108.31,156.11
RX_1651,-0.092200,51.533800,-108.57,156.37
RX_1652,-0.092200,51.533900,-110.61,158.41
RX_1653,-0.092100,51.533900,-111.72,159.52
RX_1653,-0.092100,51.533900,-108.69,156.49
RX_1653,-0.092100,51.533900,-107.43,155.23
RX_1658,-0.092000,51.533900,-107.13,154.93
RX_1658,-0.092000,51.533900,-106.32,154.12
RX_1658,-0.092000,51.533900,-108.93,156.73
RX_1659,-0.091900,51.534000,-111.21,159.01
RX_1659,-0.091900,51.534000,-108.21,156.01
RX_1659,-0.091900,51.534000,-107.64,155.44
RX_1662,-0.091800,51.534000,-108.15,155.95
RX_1662,-0.091800,51.534000,-109.51,157.31
RX_1664,-0.091700,51.534000,-109.03,156.83
RX_1665,-0.091700,51.534100,-108.42,156.22
RX_1665,-0.091700,51.534100,-108.24,156.04
RX_1669,-0.091600,51.534100,-108.29,156.09
RX_1669,-0.091600,51.534100,-104.64,152.44
RX_1669,-0.091600,51.534100,-107.28,155.08
RX_1670,-0.091500,51.534100,-106.04,153.84
RX_1671,-0.091500,51.534200,-104.96,152.76
RX_1673,-0.091400,51.534200,-106.64,154.44
RX_1673,-0.091400,51.534200,-105.77,153.57
RX_1673,-0.091400,51.534200,-104.88,152.68
RX_1675,-0.091300,51.534200,-104.73,152.53
RX_1676,-0.091300,51.534300,-104.08,151.88
RX_1677,-0.091200,51.534300,-103.11,150.91
RX_1677,-0.091200,51.534300,-107.79,155.59
RX_1677,-0.091200,51.534300,-109.15,156.95
RX_1681,-0.091100,51.534300,-109.15,156.95
RX_1681,-0.091100,51.534300,-106.75,154.55
RX_1681,-0.091100,51.534300,-106.54,154.34
RX_1684,-0.091000,51.534400,-107.11,154.91
RX_1684,-0.091000,51.534400,-108.52,156.32
RX_1686,-0.090900,51.534400,-105.76,153.56
RX_1686,-0.090900,51.534400,-104.57,152.37
RX_1686,-0.090900,51.534400,-107.20,155.00
RX_1689,-0.090800,51.534500,-108.21,156.01
RX_1689,-0.090800,51.534500,-108.16,155.96
RX_1689,-0.090800,51.534500,-108.53,156.33
RX_1692,-0.090700,51.534500,-109.02,156.82
RX_1692,-0.090700,51.534500,-106.49,154.29
RX_1692,-0.090700,51.534500,-106.88,154.68
RX_1694,-0.090600,51.534600,-108.68,156.48
RX_1694,-0.090600,51.534600,-106.36,154.16
RX_1694,-0.090600,51.534600,-105.98,153.78
RX_1697,-0.090500,51.534600,-104.52,152.32
RX_1697,-0.090500,51.534600,-104.70,152.50
RX_1700,-0.090400,51.534700,-106.14,153.94
RX_1700,-0.090400,51.534700,-107.20,155.00
RX_1700,-0.090400,51.534700,-106.43,154.23
RX_1703,-0.090300,51.534700,-104.31,152.11
RX_1703,-0.090300,51.534700,-106.73,154.53
RX_1703,-0.090300,51.534700,-106.15,153.95
RX_1705,-0.090200,51.534800,-104.61,152.41
RX_1705,-0.090200,51.534800,-106.41,154.21
RX_1705,-0.090200,51.534800,-107.30,155.10
RX_1709,-0.090100,51.534800,-106.83,154.63
RX_1709,-0.090100,51.534800,-104.50,152.30
RX_1710,-0.090100,51.534900,-108.02,155.82
RX_1712,-0.090000,51.534900,-106.13,153.93
RX_1712,-0.090000,51.534900,-108.89,156.69
RX_1713,-0.089900,51.534900,-109.59,157.39
RX_1713,-0.089900,51.534900,-108.29,156.09
RX_1715,-0.089900,51.535000,-106.78,154.58
RX_1717,-0.089800,51.535000,-106.05,153.85
RX_1717,-0.089800,51.535000,-105.17,152.97
RX_1719,-0.089700,51.535000,-106.69,154.49
RX_1719,-0.089700,51.535000,-108.04,155.84
RX_1721,-0.089600,51.535100,-106.17,153.97
RX_1721,-0.089600,51.535100,-106.07,153.87
RX_1721,-0.089600,51.535100,-105.29,153.09
RX_1721,-0.089600,51.535100,-107.29,155.09
RX_1724,-0.089500,51.535100,-105.82,153.62
RX_1724,-0.089500,51.535100,-105.47,153.27
RX_1727,-0.089400,51.535200,-104.59,152.39
RX_1727,-0.089400,51.535200,-107.25,155.05
RX_1729,-0.089300,51.535200,-104.34,152.14
RX_1729,-0.089300,51.535200,-104.30,152.10
RX_1733,-0.089200,51.535300,-106.62,154.42
RX_1733,-0.089200,51.535300,-105.01,152.81
RX_1733,-0.089200,51.535300,-106.19,153.99
RX_1733,-0.089200,51.535300,-104.84,152.64
RX_1733,-0.089200,51.535300,-105.98,153.78
RX_1737,-0.089200,51.535400,-108.08,155.88
RX_1737,-0.089200,51.535400,-108.71,156.51
RX_1737,-0.089200,51.535400,-106.51,154.31
RX_1737,-0.089200,51.535400,-107.93,155.73
RX_1737,-0.089200,51.535400,-107.96,155.76
RX_1740,-0.089200,51.535500,-107.61,155.41
RX_1743,-0.089300,51.535500,-107.11,154.91
RX_1743,-0.089300,51.535500,-107.69,155.49
RX_1743,-0.089300,51.535500,-107.06,154.86
RX_1744,-0.089300,51.535600,-107.20,155.00
RX_1744,-0.089300,51.535600,-106.53,154.33
